t,pos_err,ang_err,manip_logdet,yoshikawa,grad_norm
0.0,0.0,6.162975792324651e-33,-4.819939078648227,0.08981803044849336,1.4906729284079046
0.002,2.837042359029365e-05,6.012269615932899e-05,-4.819878448298923,0.08982075333904553,1.4906729284079046
0.004,7.844620052416815e-05,0.00016562451323637995,-4.819776204363434,0.08982534527007383,1.4906729284079046
0.006,0.00014544384727389474,0.00030554480906631306,-4.819643217080181,0.08983131828297268,1.4906729284079046
0.008,0.0002256712256328873,0.000471816906991345,-4.8194868493172525,0.08983834191867705,1.4906729284079046
0.01,0.00031618106195403014,0.0006582944692735421,-4.819312601958005,0.08984616930656676,1.4906723328893952
0.012,0.00041458663874324785,0.0008601474451367797,-4.819124789284145,0.08985460682737567,1.4906723328893952
0.014,0.0005189441236478612,0.0010735073732907614,-4.8189268708981405,0.08986349920673893,1.4906723328893952
0.016,0.0006276674255268028,0.0012952454584036072,-4.818721647632453,0.0898727207202348,1.4906723328893952
0.018000000000000002,0.0007394622164251063,0.0015228201939985902,-4.818511395203386,0.08988216919578648,1.4906723328893952
0.020000000000000004,0.0008532730962153353,0.0017541644564001864,-4.818297964072204,0.08989176153412555,1.4907380763279163
0.022000000000000006,0.000968240648994745,0.0019875974974645372,-4.8180828578315955,0.08990143019350609,1.4907380763279163
0.024000000000000007,0.0010836663174524233,0.0022217546056414127,-4.817867296216976,0.0899111203644285,1.4907380763279163
0.02600000000000001,0.001198983592243111,0.0024555300372500755,-4.817652266350112,0.08992078767222995,1.4907380763279163
0.02800000000000001,0.0013137343556328886,0.002688030416984274,-4.817438564633702,0.08993039629889907,1.4907380763279163
0.030000000000000013,0.0014275494496457,0.002918536569695873,-4.817226831084366,0.08993991744387742,1.4908858122744169
0.032000000000000015,0.0015401327126518321,0.0031464722121662754,-4.817017577497,0.08994932806135643,1.4908858122744169
0.034000000000000016,0.0016512478645758933,0.003371378255614963,-4.816811210566017,0.08995860982359842,1.4908858122744169
